"stopTag","stopName","latitude","longitude","routeTags"
"2779","Tournament Dr At The Links Rd","43.7507","-79.40172","78"
"2047","Lawrence Ave East At Mildenhall Rd","43.728508","-79.38636","352,124,162"
"1908","O'Connor Dr At Dohme Ave","43.71038","-79.30894","70"
"5046","Avenue Rd At Bloor St West","43.6688","-79.39428","13"
"4586","Brimley Rd At Kingston Rd North Side","43.71919","-79.24066","12,302"
"2371","Bathurst St At Wilson Ave","43.73758","-79.43423","7"
"4375","High Park Ave At Annette St","43.66302","-79.4694","30"
"4735","Bathurst St At Greenwin Village Rd","43.79069","-79.44524","307,160"
"3013","Underhill Dr At Shawfield Cres (South)","43.75017","-79.32623","91"
"7463","Sheppard Ave East At Allanford Rd West Side","43.78215","-79.29382","385,985,85"
"6905","Brenyon Way At Pioneer Pathway","43.80647","-79.21379","132"
"15356","Distillery Loop","43.65086","-79.35682","504"
"14683","Eglinton Station","43.70493","-79.39854","320"
"9584","247 The West Mall","43.63207","-79.56022","112"
"8895","Jane St At Shoreham Dr","43.76892","-79.52054","35,335,935"
"3402","Annette St At Medland St","43.66341","-79.46653","26"
"5492","Lynedock Cres At Roywood Dr","43.76396","-79.32258","122"
"5128","Benton Rd At Colville Rd","43.70784","-79.47091","59"
"4109","Ceramic Rd At Ashwarren Rd","43.75755","-79.48462","107"
"2354","Milner Ave At Executive Crt","43.78644","-79.24243","132"
"3531","Southwood Dr At Kingston Rd","43.67879","-79.29783","64"
"9801","Danforth Ave At Patricia Dr","43.68651","-79.30882","300"
"6051","Warden Ave At Bridletowne Cir (North)","43.80137","-79.31851","68,324"
"4148","Eastern Ave At Leslie St East Side","43.66168","-79.32857","31"
"4345","Avenue Rd At Fairlawn Ave","43.72778","-79.41771","61"
"8434","Arleta Ave At John Lindsay Crt","43.74589","-79.50212","108"
"5531","Avenue Rd At Brooke Ave","43.73332","-79.41964","61"
"7244","Littles Rd At Sewells Rd","43.81901","-79.2054","131"
"5130","Orfus Rd At Dufferin St","43.72017","-79.45695","47"
"10024","Senlac Rd At Finch Ave West South Side","43.77617","-79.43022","98"
"2708","Sheppard Ave East At Scunthorpe Rd","43.79312","-79.24189","385,85"
"5480","Sheppard Ave East At Parkway Forest Dr East Side","43.7759","-79.34266","385,24,167,169,85"
"24496","Steeles Ave East At Morningside Ave","43.83822","-79.24387","353,53"
"7659","Neilson Rd At Malvern Town Centre (East Entrance)","43.8079","-79.21995","133,334"
"5277","Lawrence Ave West At Dufflaw Rd","43.71262","-79.46094","352,59,52"
"8528","Dufferin St At Glencairn Ave","43.7069","-79.45303","929,29,329"
"9666","Queen'S Park Cres West At Hart House","43.6637","-79.3935","13"
"6167","Warden Ave At Arkona Dr","43.77297","-79.30511","68"
